files,390,341
aback,0,13
abandoned,9,16
abbreviated,26,0
abdomen,2,9
ability,104,18
abort,63,0
abruptly,2,16
absence,10,7
absolute,24,12
absolutely,29,61
absorb,8,3
absorbed,20,6
absorption,13,0
abstract,14,1
abundant,7,7
abuse,28,8
abused,1,11
academic,26,2
accelerated,7,5
accent,14,10
accept,54,36
acceptable,16,3
accepted,94,24
accepting,6,13
accepts,39,0
access,353,58
accessed,15,0
accessible,14,5
accessing,13,0
accident,28,8
accidentally,6,11
accidents,11,4
accommodate,5,15
accompanied,16,15
accompany,3,8
accompanying,18,0
accomplish,12,7
accomplished,17,7
accordance,18,0
account,85,17
accounted,20,2
accounting,39,1
accounts,225,5
accredited,10,0
accuracy,14,0
accurate,14,3
accused,14,4
accustomed,3,7
ace,3,7
ache,0,14
ached,0,22
achieve,33,7
achieved,19,6
achievement,11,0
aching,0,57
acid,54,1
acknowledge,8,3
acknowledged,8,8
acquire,14,2
acquired,14,5
act,111,83
acted,10,27
acting,19,27
action,133,57
actions,43,29
activated,9,4
active,113,15
actively,18,3
activities,63,29
activity,132,16
actors,6,4
acts,70,13
actual,64,11
ad,36,8
adam,10,1
adams,15,0
adapted,31,1
add,1507,36
added,175,74
adding,75,27
addition,58,12
additional,163,21
address,289,26
addressed,28,5
addresses,28,0
adds,16,4
adequate,44,1
adhering,10,0
adjacent,14,6
adjust,43,11
adjusted,17,23
adjusting,5,9
adjustment,36,1
adjustments,14,2
administered,46,1
administration,41,3
administrative,277,2
administrator,7,34
admire,5,16
admired,1,31
admiring,0,16
admission,9,3
admit,14,45
admitted,8,30
adolescent,5,17
adopt,7,3
adopted,29,2
adopts,12,0
ads,11,0
adult,68,51
adults,9,42
advance,28,2
advanced,53,8
advances,22,6
advantage,49,26
advantages,16,1
advent,11,0
adventure,56,26
adventures,6,11
advertising,28,2
advice,25,8
advise,12,5
advised,10,14
advisory,44,0
affair,2,23
affairs,15,6
affect,19,5
affected,41,4
affecting,18,0
affection,3,16
affects,18,2
affiliated,12,0
afford,17,11
afghanistan,15,0
aforementioned,8,2
afraid,23,131
africa,87,1
african,101,2
afternoon,10,80
age,440,63
aged,8,5
agencies,27,0
agency,53,8
agent,69,2
agents,36,1
ages,15,3
aggressive,2,11
aging,9,2
ago,52,39
agony,0,29
agree,42,31
agreed,17,67
agreement,67,11
agricultural,161,0
agriculture,121,0
ahead,41,48
aid,114,7
aids,9,2
aim,19,7
aimed,22,29
air,305,138
aircraft,174,0
airport,11,11
airtight,12,0
al,175,152
alabama,13,0
alan,40,26
alarm,21,8
alaska,10,1
albania,11,0
albanian,11,0
albert,18,13
alcohol,8,23
alert,10,7
algeria,15,0
alias,10,0
alice,8,268
alien,3,13
alive,13,17
alleged,12,1
allegedly,12,0
allen,9,262
allergic,13,0
alliance,35,0
allocated,7,21
allowed,81,122
allowing,40,46
allspice,20,0
almond,51,0
almonds,31,0
alongside,8,17
alpha,13,6
alt,23,0
alter,17,2
altered,27,7
altering,9,1
alternate,31,8
alternated,0,14
alternately,10,8
alternating,13,6
alternative,48,2
altitude,10,0
aluminum,23,3
amateur,13,2
amazed,6,32
amazement,0,12
amazing,19,22
ambassador,152,11
ambient,10,0
ambrosia,18,1
amended,29,0
amending,10,0
amendment,46,0
america,101,0
american,217,12
americans,37,0
amount,190,47
amounts,41,6
ample,6,33
amulet,14,0
anal,4,33
analog,10,0
analogy,11,0
analysis,27,2
anchor,12,1
anchorage,24,0
ancient,26,7
anderson,4,39
andorra,11,0
andrew,20,2
angel,38,3
angeles,77,8
anger,2,22
angle,10,22
angry,6,32
animal,63,80
animals,32,17
animated,9,4
animation,17,0
ankle,2,20
ankles,2,65
ann,27,1231
anna,5,18
anne,16,0
annie,4,72
anniversary,24,2
announce,8,5
announced,39,26
announcement,20,3
annoying,9,2
annual,83,8
annually,121,0
anode,18,0
anon,0,42
anonymous,32,14
ansi,64,0
answer,105,72
answered,26,62
answering,35,6
answers,31,3
antarctic,21,0
antarctica,20,0
anthony,39,0
anticipated,7,14
anticipation,3,20
antilles,11,0
antonio,14,0
anus,8,59
anxious,1,37
anxiously,1,9
anymore,1,16
anytime,9,10
apartment,9,93
apologize,6,4
apparatus,15,1
apparent,36,15
apparently,48,29
appeal,33,5
appearance,20,17
appeared,46,78
appearing,13,10
appears,68,2
appendix,10,0
appetite,2,8
appetizer,10,0
apple,208,7
apples,24,4
applesauce,33,0
applicable,17,0
applicant,9,1
applicants,27,2
application,68,4
applications,27,0
applied,39,31
applies,25,2
apply,55,12
applying,9,16
appointed,9,5
appointment,5,9
appreciated,6,10
appreciation,6,14
approach,54,18
approached,6,71
approaches,23,2
approaching,9,26
approval,18,7
approved,30,4
approximately,55,1
apricot,25,0
april,200,57
apt,18,2
arab,71,0
arabia,37,0
arabian,12,1
arabic,36,1
arable,261,0
arc,9,5
arcade,11,1
arcane,18,0
arch,1,12
arched,0,78
arching,1,25
architecture,9,1
archive,42,4
archives,34,0
arctic,14,2
area,246,104
areas,98,12
argentina,23,0
argentine,10,0
