files,329,331
vang,1,49
hormone,25,0
tột_độ,0,20
thằng,14,542
làn,4,24
làm,834,1025
con_thu,0,79
điều_kiện,35,5
khỏi,75,184
ông_bà,24,7
vội_vã,9,22
nằm,38,444
lớn_tuổi,29,3
liêm,0,92
cảnh,17,47
như_là,16,26
may_mắn,23,2
tâm_lý,127,2
hoa,42,61
khuôn_mặt,10,49
áo_lót,7,15
quá_trình,58,1
ngực,42,183
ngựa,4,33
dành,203,10
rõ,95,57
đèn_đỏ,20,0
rú,0,37
sức,29,61
rà,0,50
khác_biệt,44,3
đối_diện,18,5
phản_ứng,20,18
dương_vật,99,266
phạch,0,56
động_tác,6,29
vỡ,14,15
vợ,195,307
chừng,4,56
kích_thích,63,87
vị,7,20
xin,95,34
tức,11,27
phủ,6,19
phụ,34,8
vẻ,42,33
cọ,0,58
cuộc_sống,251,5
cố,30,92
cổ,24,88
trở_về,20,12
rĩ,0,35
mệt_mỏi,27,15
cậu,82,78
tiến,35,52
tiết,40,13
tiếp,33,79
nét,18,10
ân_ái,13,20
chồng,135,158
thành_công,28,5
đục,3,23
bất_thường,19,1
tay_cầm,1,19
lâu,77,155
lâm,6,66
liên_quan,55,3
quan_trọng,162,12
xuất,13,61
tin_tưởng,54,3
đam_mê,14,10
cố_gắng,127,46
tháng,151,20
mọi,315,55
mọc,11,10
cục,6,40
nói_chuyện,89,14
tung,10,39
lợi,7,223
trôi,8,22
hai,608,1651
ham,9,23
hay,705,122
ưỡn,0,82
thì_sao,10,10
trả,67,16
hẹn,44,6
khít,2,37
xinh_đẹp,11,29
từ_từ,7,157
khó,161,29
khô,34,24
khí,0,156
khá,86,47
tiến_sĩ,23,0
chơi,100,142
biện_pháp,77,0
khả_năng,118,4
tiê,38,0
khe,1,168
giai_đoạn,50,7
vượt_rào,22,0
tội,12,17
um,0,52
đánh,38,66
đáng,112,17
tổn_thương,42,0
dễ_dàng,64,36
lòng,131,47
nệm,3,31
kiềm_chế,18,3
nguyên,10,37
sư,19,3
bỏ,85,102
bị,539,341
bố,21,51
bồ,12,17
bờ,5,44
lấy,154,728
ba,116,126
nhét,2,50
giao_tiếp,31,0
trứng,89,11
nước,62,390
cắm,0,37
cắn,5,92
liên_hồi,0,30
dễ_thương,14,10
chọn_lựa,21,1
liên_tục,30,114
đánh_giá,44,0
cứ_thế,8,57
xuyên,4,16
vượt,93,3
thừa_nhận,21,0
quì,0,20
tháo,6,20
tuyệt_vời,34,40
mịn,0,32
cánh,32,18
cứng_ngắc,0,54
tồn_tại,27,0
nằm_xuống,0,76
lửa,11,21
bao_cao_su,90,16
phản_đối,55,8
cảm_xúc,109,9
món,43,13
mà_lại,11,15
yên,9,35
yêu,934,127
chị_em,55,86
rời,30,52
tập,27,8
tận,16,45
sai,36,8
hẹn_hò,81,0
người_tình,15,40
số,69,19
thứ_hai,21,15
phim,40,37
sở_hữu,19,2
tụi,15,25
chụp,1,37
chục,11,12
đạo,22,3
tụt,3,22
yên_tâm,18,12
tự_nhiên,55,36
kế_hoạch,21,10
giấu,20,3
giàu,13,10
giấy,13,10
hài_lòng,29,7
bền_vững,20,0
chúng_em,52,6
chức_năng,22,0
bắt_đầu,90,187
ý_kiến,40,4
sấp,0,43
mang,159,49
băn_khoăn,30,2
lần,366,473
lầm,27,2
cạo,1,39
yêu_thích,28,3
hết_sức,27,26
học,137,32
trạng_thái,23,11
trái_tim,93,10
đứa,152,99
duy_trì,46,0
ngon,9,50
vội,6,85
kể_cả,14,12
đáp_ứng,18,6
tiêu_cực,26,0
tờ,8,13
mỉm,7,64
tớ,77,0
tỏ,42,12
nhanh,41,119
tự,172,34
xuân,8,69
nứng,0,172
tả,2,24
thôi_thì,1,26
đòi,29,18
kinh_tế,30,0
sữa,27,33
khám,30,7
khác,420,105
quan_sát,22,14
màu_sắc,21,0
chảy,15,168
xịt,2,23
tắm,11,92
to,22,343
ti,24,7
ta,77,160
sang,24,74
đầy,26,186
đầu,176,600
ngăn,15,18
tô,19,11
đít,0,267
tí,3,21
tê,9,29
thông,3,35
nóng_hổi,1,40
đối_tác,29,0
ổn_định,32,0
cổ_họng,2,35
rụng,43,3
việt_nam,30,7
cân,35,0
câu,128,29
thông_minh,28,4
teen,47,2
sầu,2,46
đụng,5,26
sinh_ra,17,11
giữa,148,140
hà_nội,53,2
dập,2,54
dậy,6,105
trời_ơi,0,35
nãy,0,33
căng_thẳng,32,8
hỏi,129,105
để_ý,38,18
não,20,3
lựa_chọn,68,1
tư,18,149
âm_vật,43,2
đằng,11,17
thay_đổi,154,10
chúng,55,51
gọi,76,37
gọn,3,33
cảm_nhận,36,40
cửa_mình,4,81
hình_như,13,17
đàn_ông,393,79
công_nhận,2,23
đỉnh,44,26
ngày,391,91
ngây_ngất,2,28
sinh_dục,48,22
quằn_quại,0,25
công_việc,103,17
tốt_đẹp,28,0
gợi_cảm,12,14
triệu,25,0
động_viên,20,0
mũi,3,34
thoải_mái,47,29
nhân,13,43
tặng,37,4
thăm,11,9
buổi,38,9
giới,68,5
biểu_hiện,52,1
hết,92,315
thích_hợp,18,2
chạm,16,72
buồn,75,16
chạy,26,68
yêu_cầu,31,5
trọn,4,34
sex,60,17
so_sánh,14,7
anh_ta,169,3
thon,1,37
ngoan_ngoãn,4,18
cỡ,18,24
xã_hội,72,3
thúy,8,21
thúc,1,47
đất,6,45
đấy,83,140
cấm,45,7
ứa,0,39
nắc,0,259
bà,91,663
bá,0,35
bé,55,147
rơi,36,20
bò,0,30
bó,10,25
bú,12,553
xảy_ra,120,15
sách,20,9
ý_nghĩa,26,2
lúc_nào,66,41
cạ,0,21
hoàn_toàn,111,42
nhu_cầu,29,2
khúc,4,41
chu,17,5
đau,93,136
sờ,3,45
tha_thứ,38,2
linh,21,65
thông_tin,42,0
trườn,0,37
ui,0,27
sợ,97,92
duy_nhất,35,8
chai,1,26
chính_xác,51,4
đều_đặn,10,12
thể_hiện,100,1
tinh_dịch,19,39
tình_nhân,13,8
biến_mất,16,6
cơm,17,22
miệng,25,545
câu_chuyện,35,0
tiếp_tục,94,112
ra_sức,3,30
buồng_trứng,24,1
ham_muốn,37,10
sợi,7,48
chăn,7,20
leo,2,46
