files,329,331
làm_gì,99,78
gia_đình,406,15
bạn_trai,263,3
buồn,75,16
lắm,88,364
biết,641,474
bạn_bè,105,8
anh_ấy,729,8
thích,275,323
mình,1430,903
làm_sao,116,62
tết,61,0
bị,539,341
bồ,12,17
đá,12,15
tiếp_tục,94,112
yêu,934,127
ta,77,160
quen,143,27
một,2174,1270
người,2141,1325
thế_giới,74,5
phản_đối,55,8
làm,834,1025
luôn,303,162
xem_xét,27,1
bản_thân,193,3
bạn,4078,52
đặt,75,88
câu_hỏi,62,5
tại_sao,64,11
mọi,315,55
chống,27,48
chấp_nhận,115,15
họ,563,112
đến,961,524
khác,420,105
hãy,575,25
bắt_đầu,90,187
đơn_giản,89,3
nhất_là,82,38
giọng,22,25
nói,638,633
một_số,145,2
vùng,51,66
nước,62,390
khó,161,29
nghe,119,201
đặc_điểm,29,0
vấn_đề,286,2
phù_hợp,73,1
số,69,19
đông,22,6
chẳng_hạn,26,2
chậm,34,22
rõ_ràng,66,15
nuốt,2,69
dùng,184,170
thực_tế,114,1
ấn_tượng,34,1
ban_đầu,25,16
tạo,102,35
mới,364,340
gặp,249,56
bên_cạnh,91,40
cách,474,76
giao_tiếp,31,0
đối_với,88,20
sống,224,40
ứng_xử,41,0
mất,184,105
đi,614,786
hay,705,122
giữ,112,57
khá,86,47
lời,322,53
khuyên,93,1
ông_bà,24,7
tới,217,262
nguyên,10,37
giá_trị,63,0
đường,128,32
đời,87,47
hiểu,268,70
kỹ,29,13
phần,120,63
đáng,112,17
gắn_bó,23,2
suốt,47,21
đừng,205,116
hoàn_cảnh,53,4
anh,1086,1637
chọn,109,8
khổ,40,6
chúc,64,7
sớm,83,16
trẻ,123,30
hẹn_hò,81,0
phá,16,28
gần,151,87
độc_thân,24,1
dành,203,10
lớn,121,124
đêm,31,103
tổ_chức,38,1
cuối,51,34
tuần,84,22
thu_hút,24,1
hơn,782,452
đủ,162,47
điều_kiện,35,5
tham_gia,49,6
lập,31,6
vỡ,14,15
trao,18,11
tháng,151,20
năm,363,115
nay,100,99
bắt,34,66
cặp,57,254
phái,18,9
thực_hiện,60,11
vòng,51,51
phút,49,93
ngoài_ra,46,6
ít_nhất,33,2
giới,68,5
yêu_thích,28,3
nam,104,48
nhóm,64,0
kết_quả,81,2
mối,302,8
quan_hệ,537,10
thành_công,28,5
gửi,47,4
duyên,11,20
đôi,105,222
điện_thoại,56,13
mạng,56,3
xã_hội,72,3
thứ,133,58
đồ,21,30
cô_gái,187,56
hầu_hết,42,0
trở_về,20,12
nhà,212,188
cần_thiết,49,2
ảnh_hưởng,99,2
tiêu_cực,26,0
lý_do,97,3
phụ_nữ,446,28
phái_đẹp,29,0
chia_sẻ,193,2
nửa,48,72
kia,127,158
tránh,268,20
chú_ý,49,6
váy,20,30
đen,10,101
màu,70,43
áo,46,159
kèm,23,9
phổ_biến,26,0
giúp,246,40
trường_hợp,130,0
mang,159,49
thêm,167,185
tự_tin,74,6
thể_hiện,100,1
mặc,64,125
ngày,391,91
hoặc,309,21
vài,67,67
dịp,18,7
xanh,15,19
đa,33,1
dễ,138,19
thân,33,156
dài,81,188
trắng,22,116
nào,294,301
quan_trọng,162,12
lựa_chọn,68,1
dựa,26,10
cảm_giác,138,267
thoải_mái,47,29
độ,63,15
xu_hướng,28,0
mua,76,16
đẹp,102,123
tốt,232,21
chắc_chắn,88,28
tiệc,23,4
làm_việc,53,14
riêng,79,19
quần_áo,28,34
mùi,32,50
hương,25,231
mềm_mại,6,65
lòng,131,47
chàng_trai,120,9
loại,78,15
khác_nhau,56,6
hoa,42,61
muốn,588,393
cưới,124,15
tuổi,383,75
hà_nội,53,2
công_ty,42,13
bạn_gái,350,3
kém,35,21
ý_định,21,4
phát,25,60
nhận,175,42
tín_hiệu,22,4
tình_yêu,625,26
công_việc,103,17
ổn_định,32,0
bảo,78,167
bố_mẹ,128,9
kinh_tế,30,0
giờ,127,111
dám,68,71
quê,45,4
tìm,197,64
gặp_gỡ,29,0
đỡ,5,53
tâm_sự,53,5
lấy,154,728
kết_hôn,108,2
hơn_nữa,32,66
thấy,449,569
vợ,195,307
con_cái,27,3
cuộc_sống,251,5
thời_gian,352,30
chẳng,165,114
vơ,25,7
tội,12,17
nặng,43,18
định,15,50
người_yêu,363,62
nào_đó,67,7
nghĩ,278,139
khó_khăn,114,10
cơm,17,22
no,22,12
bước,77,46
bỏ,85,102
cứng,43,296
hai,608,1651
sinh_viên,37,11
đh,25,1
song,34,6
quân,10,205
kể,78,17
nhìn,168,447
ông,102,636
trở_nên,82,11
chơi,100,142
gọi,76,37
điện,34,20
mấy,69,183
chị,86,1729
chồng,135,158
xong,27,177
tính,107,18
xấu,40,3
ít,126,40
đấy,83,140
lần,366,473
nguy_hiểm,25,2
tâm_lý,127,2
hết,92,315
con_gái,146,66
bao,71,35
thường,250,33
khoảng,109,25
anh_chàng,68,14
chuyển,50,13
thành,79,67
gã,12,308
chuyên_gia,69,0
hoàn_toàn,111,42
nói_dối,52,1
thuộc,32,7
bình_thường,130,31
đồng_tính,93,1
nỗi,45,34
lo,58,22
phát_triển,77,1
đầy,26,186
chất,67,26
sợ,97,92
thiếu,64,7
cũng_nên,29,0
cẩn_thận,34,15
chàng,593,947
tin_tưởng,54,3
cuộc_đời,64,10
trái,23,95
tự_nhiên,55,36
thì_phải,18,9
đứa,152,99
thông_minh,28,4
vợ_chồng,44,21
vui_vẻ,47,5
xây_dựng,29,2
hạnh_phúc,183,23
dù,137,77
cạnh,7,38
cảm_thấy,229,140
cô_đơn,33,4
khiến,277,148
sung_sướng,7,213
khẳng_định,39,0
thông_thường,36,0
trái_tim,93,10
đập,10,29
duy_nhất,35,8
nhịp,21,62
xảy_ra,120,15
ngăn,15,18
đối_tượng,35,0
đem,37,32
nghiêng,2,37
phía,56,202
thư,37,3
trang,28,50
giữa,148,140
thật_sự,101,7
hỏi,129,105
nắm,32,99
tay,77,863
chiều,40,37
may,19,9
thường_xuyên,88,4
liên_tục,30,114
tư_thế,32,43
sẵn_sàng,61,16
kiểu,55,107
tình_cảm,324,1
người_ta,120,44
nàng,196,1767
rơi,36,20
tương_tự,23,2
phim,40,37
nhỏ,177,143
khóc,22,30
quên,105,45
không_thể,242,58
khỏi,75,184
đâu,137,212
hiện_tượng,40,0
đưa,150,404
bớt,23,10
một_chút,51,106
kẻ,29,15
cân,35,0
lôi,3,22
bàn,17,32
quan_tâm,175,4
lúc_nào,66,41
bảo_vệ,65,6
có_lẽ,66,27
nhắc,25,8
dường_như,26,25
nguy_cơ,62,0
đóng,20,19
nhờ,54,25
bác_sĩ,93,31
tư_vấn,71,0
câu,128,29
trả_lời,106,34
lợi_dụng,24,3
dấu_hiệu,69,5
em,1438,2106
chia_tay,214,5
cấm,45,7
chúng_em,52,6
học,137,32
thời,26,10
trường,59,17
đại_học,25,2
chờ,46,41
ba_mẹ,31,2
suy_nghĩ,200,14
thật,263,527
má,4,54
tiếp_xúc,24,4
bác,18,30
nói_chuyện,89,14
đôi_khi,72,9
cười,47,229
giống,89,52
người_lớn,36,9
biểu_hiện,52,1
chọc,4,26
con_nít,22,8
ra_sao,22,10
cộng,17,9
đồng_ý,53,11
tiến,35,52
xa,109,26
hồi,16,91
xưa,13,12
sinh,43,602
mặt,98,262
mong,50,8
ảnh,70,106
như_thế,106,89
băn_khoăn,30,2
quyết_định,196,10
hôn_nhân,120,0
lo_lắng,109,8
sức_khỏe,90,4
mẹ,82,207
ủng_hộ,32,0
niềm_tin,27,0
nói_gì,18,21
tinh_thần,40,6
khả_năng,118,4
mức_độ,41,5
mặc_dù,39,23
rõ,95,57
ý_kiến,40,4
dứt_khoát,23,2
cơ_hội,90,16
ngưng,5,26
tìm_hiểu,91,1
hết_sức,27,26
sau_này,80,27
dẫn,77,12
trách_nhiệm,45,6
mức,61,7
chút,36,62
vội_vàng,38,15
nữ_giới,25,0
việt_nam,30,7
xung_quanh,31,19
tác_động,37,1
nghĩa_là,50,9
tự,172,34
sâu,31,302
quan_sát,22,14
cụ_thể,25,0
chính_xác,51,4
cân_nhắc,29,0
tình_bạn,27,0
sang,24,74
giờ_đây,15,13
đặc_biệt,108,19
trở_thành,68,25
như_thế_nào,70,16
cố_gắng,127,46
nhớ,105,48
hiểu_biết,25,3
xác_định,57,1
đối_phương,61,8
để_ý,38,18
xem,186,89
thực_sự,172,13
thử,119,29
nếu_không,68,23
dĩ_nhiên,11,16
liệu,92,1
mắt,87,189
ánh,16,27
tìm_kiếm,31,17
bên,215,609
cảm_nhận,36,40
đẩy,20,117
nhanh,41,119
sai,36,8
chủ_động,63,19
bật,5,37
đáp,27,33
ôi,4,37
gấp,20,16
đầu,176,600
ngón_tay,7,165
môi,29,242
chạm,16,72
vì_sao,28,5
hôn,54,260
nhắm_mắt,12,50
cơ_thể,130,56
con_người,95,20
tiết,40,13
mạnh,43,700
gọi_là,27,7
đê_mê,4,86
tận_hưởng,16,36
triệu,25,0
hoạt_động,57,11
mạnh_mẽ,37,15
nụ_hôn,28,23
bệnh,112,8
mắc,64,19
mà_lại,11,15
miệng,25,545
an_toàn,60,0
tỏ_tình,42,2
hồng,20,165
món,43,13
quà,46,4
hay_là,17,9
lời_nói,25,8
thẳng_thắn,37,0
ngọt_ngào,20,5
áp_dụng,24,1
lớp,80,56
lâu,77,155
mở,28,94
đọc,54,9
dòng,12,64
chữ,37,9
chừng,4,56
cuối_cùng,60,65
làm_bạn,29,0
ba,116,126
nga,51,18
buổi,38,9
hẳn,47,77
lưng,12,139
đúng,198,107
mong_muốn,90,4
yêu_thương,77,25
hiệu_quả,74,1
chi,35,43
yêu_cầu,31,5
không_gian,29,9
thứ_hai,21,15
đón_nhận,32,38
bất_ngờ,38,12
hài_lòng,29,7
hành_động,67,9
chân_thành,42,1
sử_dụng,158,9
tin,148,13
nhắn,56,1
hành_vi,48,3
tôn_trọng,66,4
vui,40,20
giải_quyết,73,0
nữ,93,108
tai,22,26
tỉnh,15,23
tồn_tại,27,0
sự_thật,66,2
lắng_nghe,42,5
xin,95,34
việc_làm,22,6
đàn_ông,393,79
yếu_tố,49,1
cũ,134,24
hợp,56,5
tính_cách,46,0
hơi,36,228
níu_kéo,27,1
hiện,33,34
quý,31,15
sẵn,13,12
trò_chuyện,26,1
ngỏ,32,0
ý_muốn,28,2
quay,58,70
hiện_tại,73,10
chỗ,56,111
trước_mắt,12,16
xoay,8,54
quanh,27,37
ngược_lại,39,7
dễ_dàng,64,36
tâm_trạng,34,2
giải_pháp,29,0
nhìn_nhận,30,0
đảm_bảo,40,2
